Soil_Type,Temperature_C,Rainfall_mm,Humidity_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,pH,Crop_History,Recommended_Crop
Silty,22.9,95.3,62.7,95.8,46.5,53.8,6.91,Sugarcane,Maize
Clay,13.4,57.3,46.8,63.6,33.3,33.7,6.92,Sugarcane,Mustard
Loamy,37.2,134.9,75.8,80.6,66.4,79.6,7.08,Mustard,Sugarcane
Sandy Loam,10.5,45.2,33.8,85.5,31.9,23.2,6.43,Rice,Mustard
Sandy Loam,23.8,36.5,36.1,17.6,51.6,25.3,8.03,Tomato,Lentil
Sandy Loam,26.8,55.8,63.9,19.4,41.9,33.8,6.44,Maize,Groundnut
Clay,30.6,261.5,92.9,65.9,54.7,61.3,5.41,Maize,Rice
Clay,17.6,77.1,51.5,86.8,59.8,39.2,6.73,Lentil,Wheat
Clay,26.8,164.8,91.3,78.5,38.5,34.0,6.21,Lentil,Rice
Loamy,22.2,78.9,75.2,101.8,72.6,65.4,5.29,Wheat,Potato
Loamy,34.7,86.3,64.3,31.8,29.0,28.2,6.52,Potato,Groundnut
Clay,40.0,67.7,58.2,83.3,30.8,41.1,8.0,Maize,Cotton
Loamy,17.6,72.7,48.2,74.0,44.2,23.5,6.0,Lentil,Mustard
Silty,21.8,71.9,50.2,35.5,35.0,13.8,7.3,Mango,Lentil
Clay,37.6,120.8,66.1,88.7,27.7,21.7,6.73,Mango,Cotton
Silty,23.5,167.1,74.6,90.3,68.9,75.0,6.82,Wheat,Sugarcane
Silty,26.4,82.4,53.5,41.7,18.5,34.8,7.95,Cotton,Lentil
Silty,31.7,226.3,84.4,105.4,51.4,46.5,6.75,Potato,Rice
Red,27.1,104.7,72.7,22.5,40.1,49.0,6.45,Potato,Groundnut
Silty,28.9,59.7,73.4,79.6,85.9,63.1,6.18,Lentil,Tomato
Loamy,23.2,68.0,59.9,12.8,30.7,41.0,7.28,Sugarcane,Lentil
Loamy,17.7,72.9,34.6,26.5,24.3,16.0,6.97,Cotton,Lentil
Sandy Loam,19.9,106.9,65.7,75.3,58.5,50.0,6.08,Wheat,Potato
Loamy,27.6,233.2,76.0,151.4,50.3,41.6,7.42,Maize,Sugarcane
Loamy,35.4,179.3,69.2,74.8,27.6,30.4,5.05,Lentil,Rice
Black,31.9,68.7,59.1,48.0,36.3,34.0,7.005,Wheat,Cotton
Silty,19.4,90.7,69.3,90.4,74.7,40.3,6.73,Soybean,Tomato
Sandy Loam,15.2,95.9,63.6,87.2,42.6,48.3,7.0,Groundnut,Wheat
Loamy,27.6,276.2,82.9,111.0,49.6,43.5,5.26,Maize,Rice
Loamy,39.0,78.3,69.3,59.1,29.6,42.2,6.46,Wheat,Cotton
Loamy,32.4,95.1,73.6,20.0,43.8,31.3,7.04,Mango,Soybean
Loamy,15.4,98.7,43.0,104.7,58.0,46.2,6.35,Mango,Wheat
Sandy Loam,24.4,94.0,55.6,29.55,37.0,30.7,6.83,Maize,Groundnut
Sandy Loam,30.4,185.9,55.7,66.4,27.1,63.7,6.59,Lentil,Mango
Sandy Loam,15.3,56.7,81.5,94.0,66.0,68.6,6.43,Groundnut,Potato
Clay,24.0,60.7,32.4,66.6,30.2,28.8,6.41,Lentil,Mustard
Sandy Loam,13.9,49.2,45.9,58.9,40.8,22.3,6.92,Rice,Mustard
Clay,33.0,138.7,55.5,67.7,45.4,28.65,7.49,Groundnut,Cotton
Loamy,24.2,100.7,64.3,22.4,38.4,35.6,6.99,Lentil,Soybean
Laterite,26.4,127.1,68.9,79.7,31.8,49.2,6.49,Soybean,Mango
Silty,16.3,77.3,41.9,15.3,23.0,12.8,7.25,Mustard,Lentil
Sandy Loam,25.3,98.7,64.3,69.5,47.8,64.3,7.15,Sugarcane,Mango
Loamy,21.0,46.5,33.6,58.9,21.2,15.5,7.34,Cotton,Mustard
Sandy Loam,29.3,130.0,70.5,22.7,34.9,37.1,6.3,Tomato,Groundnut
Loamy,28.7,231.2,76.2,135.3,71.9,72.7,5.83,Groundnut,Sugarcane
Silty,16.9,36.3,47.3,36.1,24.5,38.5,6.9,Potato,Lentil
Sandy Loam,13.7,58.4,44.6,76.8,33.1,26.6,6.62,Wheat,Mustard
Loamy,29.1,119.4,73.6,24.5,45.0,32.8,6.09,Cotton,Soybean
Loamy,15.0,76.5,42.0,47.5,28.3,31.3,6.86,Groundnut,Lentil
Loamy,20.7,84.4,54.8,81.7,68.1,40.1,7.45,Lentil,Wheat
Sandy Loam,24.7,37.7,54.9,56.5,47.9,35.2,6.32,Rice,Mustard
Red,29.1,57.7,72.5,18.9,37.8,43.0,6.2,Cotton,Groundnut
Loamy,12.0,43.3,47.5,57.6,32.9,20.6,6.91,Sugarcane,Mustard
Black,26.1,63.8,44.3,75.2,39.4,28.7,6.07,Sugarcane,Cotton
Loamy,27.4,105.2,72.4,36.3,46.8,35.6,6.29,Potato,Soybean
Sandy Loam,13.8,36.2,58.9,46.0,34.7,15.0,6.75,Potato,Mustard
Sandy Loam,18.1,47.0,37.5,15.6,20.0,21.4,7.29,Maize,Lentil
Silty,18.4,108.1,61.3,62.1,76.4,76.5,5.76,Tomato,Potato
Silty,15.0,101.2,69.3,90.4,59.4,76.9,6.02,Sugarcane,Potato
Clay,26.3,97.5,83.7,35.2,53.2,42.2,6.63,Potato,Soybean
Sandy Loam,19.5,75.8,32.9,70.1,33.2,21.2,7.31,Wheat,Mustard
Laterite,25.2,146.6,63.7,43.9,31.1,64.2,6.1,Lentil,Mango
Sandy Loam,22.4,92.1,63.1,30.5,34.3,29.0,6.4,Sugarcane,Groundnut
Silty,22.2,51.1,64.7,108.4,79.0,66.8,6.11,Potato,Tomato
Sandy Loam,24.0,57.4,31.9,44.0,59.5,37.0,7.75,Mango,Lentil
Loamy,16.6,98.2,65.9,19.7,31.3,38.1,6.44,Groundnut,Lentil
Clay,13.7,37.8,40.3,48.9,32.5,31.3,7.18,Maize,Mustard
Loamy,23.3,218.0,81.2,130.4,68.9,52.9,6.51,Wheat,Sugarcane
Loamy,16.8,95.1,60.3,130.4,42.2,21.4,6.73,Potato,Wheat
Sandy Loam,29.1,69.5,67.3,17.8,64.5,40.6,7.39,Potato,Soybean
Silty,27.5,323.3,80.3,71.1,55.8,56.3,5.51,Mustard,Rice
Loamy,28.7,166.5,83.6,150.6,58.6,64.6,6.2,Maize,Sugarcane
Laterite,26.4,95.3,57.7,55.6,31.8,57.8,5.69,Potato,Mango
Silty,26.6,69.4,81.7,105.0,64.4,67.5,5.82,Cotton,Tomato
Silty,24.7,53.8,52.7,36.7,27.5,21.7,7.28,Maize,Lentil
Red,33.1,80.5,60.9,19.8,28.9,28.4,6.47,Potato,Groundnut
Silty,15.1,33.7,49.8,43.9,37.0,21.7,7.77,Soybean,Lentil
Loamy,11.8,45.7,44.4,43.3,33.1,18.4,7.35,Rice,Mustard
Sandy Loam,23.5,62.4,43.1,29.8,30.6,39.3,7.35,Rice,Lentil
Loamy,21.6,175.5,60.5,112.8,36.8,30.4,6.02,Mustard,Maize
Sandy Loam,22.8,55.5,44.4,80.1,33.4,18.6,6.19,Maize,Mustard
Clay,27.1,134.2,83.5,33.4,31.9,47.4,7.49,Potato,Soybean
Silty,31.5,292.5,94.6,62.5,64.3,57.2,5.67,Wheat,Rice
Clay,20.0,51.4,58.8,77.3,35.2,26.1,7.22,Potato,Mustard
Loamy,12.2,27.7,49.8,70.7,33.4,34.7,6.21,Wheat,Mustard
Loamy,26.5,119.3,61.0,89.0,40.6,25.7,7.26,Mustard,Maize
Silty,27.8,88.2,65.7,81.0,33.9,48.7,6.28,Mustard,Maize
Loamy,20.0,132.3,63.1,114.8,44.2,23.6,7.3,Wheat,Maize
Loamy,39.1,135.3,62.3,50.4,27.6,47.7,6.96,Groundnut,Cotton
Silty,28.9,147.9,75.8,72.3,38.3,49.6,6.94,Potato,Maize
Loamy,30.4,211.2,74.4,105.9,31.8,50.1,5.23,Soybean,Rice
Sandy Loam,16.6,31.4,48.6,37.0,42.4,13.1,6.72,Sugarcane,Lentil
Loamy,25.6,57.2,49.8,47.6,37.9,30.7,6.36,Potato,Mustard
Red,30.7,129.1,63.7,22.2,27.4,38.8,6.27,Cotton,Groundnut
Loamy,31.9,232.3,73.1,79.0,57.0,44.4,5.08,Cotton,Rice
Sandy Loam,26.9,56.6,67.9,106.1,56.2,50.6,6.8,Groundnut,Tomato
Sandy Loam,21.6,135.2,78.4,55.8,48.7,22.1,7.34,Mango,Soybean
Loamy,32.6,114.4,67.2,38.6,54.4,33.4,6.93,Mango,Groundnut
Sandy Loam,10.2,52.8,54.3,47.8,46.0,17.4,6.76,Cotton,Mustard
Sandy Loam,26.2,105.8,58.6,23.8,54.3,32.5,6.78,Maize,Groundnut
Loamy,28.1,157.2,65.3,62.1,38.2,67.9,7.46,Sugarcane,Mango
Clay,24.6,110.2,67.6,44.9,58.2,24.5,7.05,Lentil,Soybean
Clay,30.3,229.2,81.0,82.4,74.4,36.5,5.13,Mustard,Rice
Silty,28.8,33.7,56.1,34.0,31.3,38.2,7.15,Mango,Lentil
Sandy Loam,14.3,73.5,79.6,77.5,91.4,39.1,6.52,Sugarcane,Potato
Clay,25.2,80.7,65.4,133.5,48.3,44.3,6.63,Lentil,Wheat
Sandy Loam,29.1,80.4,59.3,100.5,51.1,62.5,6.02,Maize,Tomato
Silty,13.4,80.1,82.0,93.4,55.7,67.8,4.91,Cotton,Potato
Laterite,30.1,159.5,65.5,63.3,31.8,63.7,5.77,Lentil,Mango
Clay,18.8,61.6,43.5,123.1,80.2,35.8,5.86,Mustard,Wheat
Sandy Loam,27.4,134.9,78.8,84.0,36.1,49.2,7.48,Soybean,Mango
Loamy,20.1,81.4,68.2,74.9,70.6,65.8,6.235,Lentil,Tomato
Loamy,21.9,52.4,75.6,98.8,56.3,56.4,6.0,Wheat,Tomato
Clay,29.0,141.0,78.2,64.2,41.5,32.8,7.0,Sugarcane,Soybean
Loamy,30.5,158.1,79.2,104.5,51.2,57.4,5.38,Cotton,Rice
Loamy,23.3,180.9,59.8,114.1,39.8,52.9,6.03,Groundnut,Maize
Loamy,21.5,64.8,83.2,47.8,38.9,44.7,6.5,Mango,Soybean
Sandy Loam,26.3,101.4,64.0,25.0,28.9,36.9,7.28,Lentil,Soybean
Sandy Loam,26.9,69.5,59.3,44.3,23.7,22.7,7.13,Tomato,Lentil
Sandy Loam,17.9,83.6,83.6,70.4,75.3,68.9,5.48,Maize,Potato
Clay,31.0,101.4,69.2,19.3,31.6,33.4,7.02,Rice,Soybean
Loamy,20.7,84.8,35.3,40.1,37.3,30.4,7.87,Cotton,Lentil
Clay,31.7,132.7,63.8,123.5,51.8,78.1,6.26,Soybean,Sugarcane
Loamy,10.8,81.7,42.5,40.4,36.3,29.9,6.59,Tomato,Mustard
Loamy,17.1,73.8,58.7,16.1,33.9,25.9,7.79,Wheat,Lentil
Loamy,20.5,62.3,66.7,113.1,42.6,43.2,6.77,Cotton,Maize
Sandy Loam,26.3,80.7,57.1,68.5,67.8,69.3,5.95,Cotton,Tomato
Silty,19.0,54.9,63.8,65.0,62.1,52.0,6.47,Sugarcane,Tomato
Sandy Loam,26.1,101.4,70.1,55.1,58.0,31.7,6.79,Wheat,Soybean
Loamy,21.3,70.2,66.2,50.1,52.6,50.0,6.3,Cotton,Soybean
Clay,17.9,92.0,59.6,117.2,70.3,37.9,7.4,Mango,Wheat
Loamy,31.3,119.4,64.8,78.7,27.3,17.4,5.94,Groundnut,Cotton
Sandy Loam,27.0,94.3,70.4,116.2,42.9,33.7,7.14,Potato,Maize
Sandy Loam,19.7,67.9,38.5,67.3,35.1,31.4,5.98,Lentil,Mustard
Loamy,22.5,65.9,46.9,67.2,27.2,18.6,7.41,Mango,Mustard
Sandy Loam,21.2,74.6,64.0,112.4,42.9,26.7,6.97,Rice,Wheat
Loamy,17.6,114.5,74.1,74.0,85.8,62.4,5.24,Mango,Potato
Sandy Loam,32.7,157.7,58.3,73.8,47.6,54.8,7.13,Wheat,Mango
Sandy Loam,25.0,84.9,49.6,69.8,40.1,64.2,6.22,Potato,Mango
Loamy,22.5,50.1,62.6,32.5,21.4,26.8,7.67,Mango,Lentil
Silty,25.6,66.9,66.0,67.7,54.6,61.8,6.8,Potato,Tomato
Loamy,28.2,149.5,77.4,101.0,41.8,43.9,6.7,Cotton,Maize
Clay,21.5,234.5,60.2,117.8,63.1,58.6,5.68,Mango,Sugarcane
Clay,26.0,118.7,75.4,98.5,52.2,73.6,6.24,Potato,Sugarcane
Silty,24.2,129.9,55.0,76.4,56.0,49.5,6.74,Groundnut,Maize
Sandy Loam,18.1,56.2,43.2,48.7,51.6,18.6,6.76,Wheat,Mustard
Laterite,33.1,144.6,61.4,81.5,36.1,60.1,6.91,Tomato,Mango
Red,25.7,78.2,60.6,16.3,38.0,23.6,6.37,Potato,Groundnut
Loamy,28.1,131.9,76.6,47.7,39.1,56.5,5.97,Maize,Mango
Clay,28.7,108.3,59.7,83.1,61.6,75.3,6.07,Maize,Sugarcane
Laterite,23.7,90.1,55.4,49.2,31.0,44.3,6.64,Potato,Mango
Loamy,19.05,62.8,68.1,69.3,64.7,49.5,5.08,Rice,Potato
Clay,23.0,72.2,61.8,20.0,58.5,43.0,7.19,Potato,Soybean
Silty,27.1,224.6,80.2,91.3,37.4,39.8,5.94,Sugarcane,Rice
Clay,31.7,277.0,90.2,118.4,35.0,38.7,5.98,Mustard,Rice
Loamy,25.4,173.7,57.3,43.8,38.4,51.7,7.32,Groundnut,Mango
Sandy Loam,30.45,186.0,54.4,73.2,35.3,48.3,5.76,Wheat,Mango
Loamy,40.2,80.4,57.3,89.3,47.4,21.4,6.83,Sugarcane,Cotton
Silty,24.4,90.1,65.8,75.1,51.3,48.1,6.03,Wheat,Maize
Clay,27.0,177.5,76.6,139.9,65.6,70.9,5.64,Soybean,Sugarcane
Sandy Loam,15.4,78.2,31.3,92.5,50.7,29.2,7.18,Soybean,Wheat
Black,32.05,132.5,65.7,50.7,44.7,24.5,7.05,Maize,Cotton
Clay,30.1,168.0,67.8,145.6,55.5,67.0,5.57,Mango,Sugarcane
Sandy Loam,29.7,48.3,51.5,81.8,64.2,59.4,7.03,Maize,Tomato
Sandy Loam,11.7,64.5,34.3,86.5,73.0,47.3,6.97,Lentil,Wheat
Sandy Loam,27.3,80.5,73.3,111.6,45.3,44.7,6.34,Cotton,Maize
Silty,21.7,78.5,59.3,48.2,27.6,33.4,7.115,Sugarcane,Lentil
Loamy,24.3,97.2,58.8,98.9,36.0,22.5,6.33,Groundnut,Wheat
Silty,32.5,222.5,63.2,95.3,54.8,55.5,6.89,Potato,Sugarcane
Loamy,31.7,59.8,60.1,18.9,56.5,51.4,6.65,Potato,Groundnut
Black,35.1,52.7,68.7,49.1,49.2,20.0,7.18,Soybean,Cotton
Silty,16.4,58.5,69.7,82.3,61.1,73.6,4.96,Sugarcane,Potato
Loamy,28.6,75.3,66.4,93.1,57.4,48.0,6.41,Mango,Maize
Loamy,30.2,151.6,73.5,114.9,62.4,59.8,6.37,Groundnut,Sugarcane
Black,24.1,86.7,42.4,53.4,28.7,28.3,7.88,Wheat,Cotton
Clay,28.9,57.8,46.8,62.4,35.3,43.8,6.41,Tomato,Cotton
Black,32.05,52.5,67.3,67.1,38.9,23.3,6.06,Lentil,Cotton
Sandy Loam,21.1,75.0,30.7,46.9,24.3,23.9,7.17,Tomato,Mustard
Silty,26.1,46.2,43.3,23.5,24.5,27.1,6.42,Wheat,Lentil
Clay,22.4,160.2,72.3,121.7,53.0,59.9,6.68,Mango,Sugarcane
Silty,19.6,92.2,59.5,80.4,67.8,40.5,6.37,Cotton,Tomato
Loamy,26.4,98.2,80.6,34.4,71.3,28.7,7.13,Rice,Soybean
Loamy,19.6,95.6,79.5,70.3,62.4,38.2,6.87,Lentil,Maize
Clay,19.6,162.3,71.6,88.4,34.3,57.3,5.33,Sugarcane,Rice
Sandy Loam,28.2,87.3,70.6,122.8,32.3,49.0,6.74,Groundnut,Maize
Clay,36.3,125.1,61.9,86.4,25.2,46.0,7.4,Sugarcane,Cotton
Loamy,29.9,70.5,69.0,37.6,45.5,49.0,6.0,Soybean,Groundnut
Loamy,21.7,232.8,81.85,102.1,40.2,39.0,5.58,Cotton,Rice
Loamy,20.0,58.9,66.2,85.4,67.3,50.8,6.5,Sugarcane,Potato
Loamy,26.7,61.05,53.0,16.1,33.5,20.7,6.23,Groundnut,Lentil
Loamy,18.4,44.9,49.4,65.9,27.6,18.1,6.71,Soybean,Mustard
Sandy Loam,29.6,83.1,54.2,51.5,30.5,39.0,7.02,Lentil,Mango
Red,29.0,65.7,69.8,36.6,51.6,25.7,6.25,Cotton,Groundnut
Black,32.0,95.7,52.0,89.7,41.4,35.2,6.14,Groundnut,Cotton
Loamy,33.1,275.5,86.5,76.6,49.9,52.9,5.66,Soybean,Rice
Loamy,23.6,94.0,67.7,70.6,50.6,55.3,6.18,Lentil,Maize
Silty,38.1,270.3,80.6,86.5,71.8,43.2,7.49,Tomato,Sugarcane
Sandy Loam,23.7,91.1,58.0,84.6,71.4,47.0,6.91,Sugarcane,Tomato
Loamy,34.7,143.1,58.3,51.3,35.8,63.1,6.18,Sugarcane,Mango
Loamy,10.5,72.4,43.95,81.6,46.2,24.2,6.77,Potato,Mustard
Clay,27.7,259.0,66.8,115.7,45.8,50.2,5.23,Lentil,Rice
Silty,25.8,97.2,65.7,101.0,37.0,28.2,6.93,Rice,Maize
Silty,33.3,150.5,86.2,64.3,36.7,47.7,5.94,Cotton,Rice
Loamy,25.7,184.9,92.1,125.5,58.9,46.4,6.35,Mustard,Sugarcane
Loamy,21.9,86.25,66.0,128.7,41.5,42.8,6.59,Rice,Wheat
Red,33.0,124.6,60.6,24.1,59.0,32.3,6.33,Mustard,Groundnut
Silty,18.1,97.5,82.6,62.0,82.1,67.8,4.87,Tomato,Potato
Silty,27.5,74.4,50.5,96.4,83.6,57.7,6.28,Mango,Tomato
Clay,23.1,147.5,79.7,43.6,66.7,47.3,6.27,Tomato,Soybean
Clay,22.1,148.0,57.7,44.9,43.0,33.9,6.64,Tomato,Soybean
Loamy,27.1,122.5,62.4,31.9,43.6,47.7,6.77,Lentil,Soybean
Loamy,32.5,97.7,57.9,21.0,43.9,23.3,5.93,Sugarcane,Groundnut
Silty,18.6,77.4,63.3,82.6,84.8,52.5,5.27,Tomato,Potato
Black,25.6,114.8,67.1,67.9,24.0,28.65,6.89,Mango,Cotton
Loamy,28.1,284.9,71.0,85.5,63.3,33.8,6.92,Groundnut,Rice
Clay,31.5,201.2,72.5,81.8,38.9,52.9,5.98,Wheat,Rice
Sandy Loam,23.0,71.1,78.0,100.1,77.3,75.7,5.62,Mango,Potato
Loamy,18.5,56.9,53.2,115.0,78.9,48.5,6.84,Groundnut,Wheat
Loamy,22.6,105.5,57.5,79.4,42.2,47.4,7.33,Lentil,Maize
Silty,27.6,132.6,59.8,101.2,59.3,33.7,5.84,Mango,Maize
Silty,29.5,133.3,56.5,117.1,61.2,31.6,7.39,Soybean,Maize
Clay,17.8,47.3,34.6,56.6,49.9,14.2,6.55,Sugarcane,Mustard
Loamy,37.2,151.1,70.4,135.5,62.4,42.1,6.81,Rice,Sugarcane
Sandy Loam,27.5,69.9,68.0,46.6,46.4,32.2,7.54,Maize,Lentil
Sandy Loam,21.8,72.5,59.0,62.1,30.8,17.4,6.59,Mango,Mustard
Sandy Loam,23.5,109.3,62.2,36.0,46.8,46.1,6.3,Maize,Soybean
Sandy Loam,15.2,107.7,84.7,79.5,89.8,75.0,5.93,Lentil,Potato
Laterite,36.6,169.6,75.7,69.1,43.1,66.9,6.47,Lentil,Mango
Loamy,30.45,182.7,58.6,59.2,23.8,70.0,5.95,Maize,Mango
Silty,20.4,90.5,77.9,87.9,68.2,62.0,4.81,Lentil,Potato
Loamy,28.9,120.6,66.7,19.6,38.3,30.6,6.97,Tomato,Groundnut
Loamy,19.3,73.6,52.1,90.7,60.5,39.6,7.02,Lentil,Tomato
Loamy,22.6,280.2,91.4,59.6,34.1,52.8,5.47,Mustard,Rice
Loamy,30.6,137.8,84.9,43.8,46.8,28.3,6.42,Lentil,Soybean
Black,26.2,67.0,65.0,50.2,44.0,22.6,7.17,Tomato,Cotton
Silty,21.4,82.1,80.7,88.5,80.8,47.8,6.14,Mustard,Potato
Loamy,30.3,233.1,79.1,99.7,56.7,39.5,5.68,Soybean,Sugarcane
Loamy,23.5,81.5,38.9,46.9,40.0,36.2,6.08,Groundnut,Lentil
Clay,19.9,75.8,57.5,85.4,51.1,27.4,6.73,Potato,Wheat
Loamy,31.5,148.4,62.0,82.1,28.9,24.2,6.5,Mango,Cotton
Loamy,20.3,101.4,72.4,30.3,46.8,35.6,7.4,Wheat,Soybean
Sandy Loam,23.9,88.5,53.1,82.3,48.8,31.8,6.11,Potato,Maize
Silty,21.8,259.9,92.1,76.1,52.1,31.5,5.02,Lentil,Rice
Black,31.3,139.9,49.4,62.8,26.5,26.5,6.26,Wheat,Cotton
Laterite,30.7,86.6,60.6,58.5,36.2,35.9,7.25,Rice,Mango
Loamy,26.5,182.0,58.8,85.8,56.4,40.3,7.01,Wheat,Maize
Loamy,28.5,310.8,77.2,104.5,34.5,50.2,6.58,Cotton,Rice
Silty,21.9,110.1,77.1,110.5,65.5,53.8,7.0,Mustard,Maize
Black,33.6,97.2,58.1,51.4,38.6,40.0,7.07,Potato,Cotton
Sandy Loam,21.9,74.4,77.8,76.6,70.7,56.4,5.96,Sugarcane,Tomato
Sandy Loam,29.8,143.7,61.9,46.5,46.6,40.9,6.21,Groundnut,Mango
Sandy Loam,35.4,72.6,77.9,45.2,20.6,36.2,6.38,Maize,Mango
Silty,27.2,289.6,85.3,74.5,33.8,53.2,6.19,Potato,Rice
Sandy Loam,26.5,48.7,61.2,103.2,75.4,55.9,7.1,Mustard,Tomato
Silty,24.6,201.3,88.0,128.7,55.9,57.8,6.34,Mango,Sugarcane
Clay,30.7,179.5,76.2,110.1,58.3,64.5,7.43,Cotton,Sugarcane
Silty,25.3,104.3,66.8,112.7,38.8,28.8,7.23,Cotton,Maize
Laterite,32.6,151.4,62.9,62.4,25.9,25.5,6.85,Tomato,Mango
Clay,27.7,93.2,44.2,53.6,41.3,38.2,7.0,Mustard,Cotton
Loamy,21.0,124.9,83.1,19.5,45.6,25.4,6.37,Cotton,Soybean
Laterite,28.2,120.8,54.2,76.8,37.7,38.5,6.1,Lentil,Mango
Sandy Loam,16.4,52.3,51.6,48.4,36.2,19.3,7.04,Wheat,Mustard
Sandy Loam,28.5,104.4,59.1,23.0,49.2,34.1,6.83,Cotton,Groundnut
Sandy Loam,23.5,119.8,35.7,98.8,42.0,48.3,6.91,Soybean,Wheat
Silty,29.6,68.3,61.3,118.6,78.1,52.7,5.6,Sugarcane,Tomato
Loamy,12.6,42.8,47.5,61.3,39.9,15.9,7.08,Tomato,Mustard
Silty,28.6,69.9,57.5,118.1,39.7,41.0,6.4,Cotton,Maize
Black,32.0,99.8,60.0,78.4,40.1,28.65,6.14,Tomato,Cotton
Sandy Loam,22.9,90.9,76.0,67.3,52.2,63.2,6.93,Lentil,Tomato
Clay,25.8,184.5,69.0,140.4,52.1,55.4,7.5,Tomato,Sugarcane
Silty,24.2,83.8,62.9,82.3,50.5,47.1,5.93,Potato,Tomato
Loamy,22.8,235.0,55.4,134.9,74.8,58.6,5.68,Groundnut,Sugarcane
Loamy,30.6,156.2,76.5,86.2,54.6,27.3,6.46,Potato,Maize
Sandy Loam,21.6,115.5,71.9,75.8,62.3,53.1,4.82,Rice,Potato
Loamy,27.8,67.5,71.3,63.5,56.9,66.3,5.83,Mango,Tomato
Sandy Loam,27.7,58.2,56.0,40.0,34.7,26.7,6.38,Maize,Groundnut
Loamy,20.8,59.1,57.5,84.2,44.6,40.8,7.29,Mango,Maize
Sandy Loam,23.6,96.8,57.0,89.1,68.5,35.8,7.2,Groundnut,Wheat
Silty,26.2,76.1,66.5,112.7,51.6,50.1,5.71,Sugarcane,Tomato
Loamy,36.6,163.4,73.0,104.8,44.2,65.1,6.88,Soybean,Sugarcane
Silty,20.9,81.8,78.2,73.9,89.3,58.4,5.97,Sugarcane,Tomato
Silty,33.8,172.4,75.0,115.2,74.4,59.9,5.81,Soybean,Sugarcane
Sandy Loam,21.9,29.8,48.5,65.9,31.9,21.4,7.16,Cotton,Mustard
Clay,29.0,293.5,84.4,119.9,57.5,35.6,6.83,Groundnut,Rice
Sandy Loam,29.7,155.3,53.8,60.7,34.7,47.0,6.49,Mustard,Mango
Black,28.9,93.5,58.0,60.7,37.9,29.0,7.0,Wheat,Cotton
Sandy Loam,24.7,111.6,50.3,123.8,60.9,35.8,6.59,Mustard,Wheat
Loamy,33.4,85.8,64.2,87.0,44.8,16.0,7.89,Mustard,Cotton
Loamy,22.3,228.9,87.3,80.5,62.9,30.3,6.45,Potato,Rice
Silty,25.0,254.8,82.9,75.3,57.8,44.8,6.92,Groundnut,Rice
Sandy Loam,26.1,116.4,67.3,71.6,49.3,37.7,7.31,Sugarcane,Mango
Loamy,18.6,92.6,54.2,138.8,80.6,25.9,6.11,Potato,Wheat
Loamy,9.2,71.0,37.8,48.9,45.5,25.0,6.44,Tomato,Mustard
Red,23.9,42.5,70.7,37.4,38.8,23.0,6.9,Tomato,Groundnut
Loamy,21.8,48.8,63.4,61.4,72.7,58.5,5.39,Mango,Potato
Silty,27.3,103.7,77.3,125.2,50.7,49.3,7.57,Mango,Maize
Sandy Loam,34.3,119.2,53.0,28.2,58.3,30.8,6.31,Lentil,Groundnut
Sandy Loam,24.3,70.5,36.2,35.5,52.6,15.1,6.41,Groundnut,Lentil
Sandy Loam,20.5,62.3,58.4,71.7,67.1,56.4,5.41,Mustard,Tomato
Sandy Loam,33.1,69.0,70.2,22.6,40.7,41.3,5.93,Maize,Groundnut
Clay,21.2,53.1,62.2,53.8,43.5,36.2,6.55,Sugarcane,Soybean
Silty,34.8,168.8,78.8,134.7,61.6,49.6,6.79,Potato,Sugarcane
Loamy,21.8,128.1,70.6,86.5,69.4,80.1,5.62,Cotton,Potato
Clay,11.2,71.9,53.8,73.4,42.7,32.9,7.35,Groundnut,Wheat
Loamy,33.7,219.0,85.2,112.1,39.2,45.8,5.87,Soybean,Rice
Loamy,26.6,139.6,58.6,26.1,44.9,29.6,5.97,Groundnut,Soybean
Clay,33.5,152.7,54.6,45.1,25.2,12.8,6.78,Tomato,Cotton
Loamy,19.5,142.1,78.9,56.7,62.0,47.5,6.16,Cotton,Soybean
Clay,27.5,170.9,70.6,72.2,63.3,38.1,5.52,Lentil,Rice
Silty,28.3,96.4,71.9,104.1,76.6,45.2,5.86,Wheat,Tomato
Clay,26.0,286.9,78.8,81.1,36.5,53.6,5.2,Maize,Rice
Loamy,24.7,84.5,56.3,78.6,53.0,42.2,5.71,Groundnut,Tomato
Sandy Loam,26.7,53.4,67.5,25.4,55.8,40.9,6.39,Tomato,Soybean
Loamy,20.9,104.8,60.8,75.3,57.1,48.5,5.08,Groundnut,Potato
Loamy,17.0,84.6,61.4,81.8,73.4,67.8,5.61,Rice,Potato
Loamy,28.0,54.4,57.9,78.5,67.1,44.2,5.79,Sugarcane,Tomato
Loamy,21.0,90.7,77.4,80.1,53.6,59.1,5.96,Mustard,Potato
Loamy,28.1,109.7,58.6,51.8,31.8,44.8,6.19,Cotton,Mango
Sandy Loam,27.7,71.6,63.8,45.0,44.7,41.0,5.95,Cotton,Groundnut
Sandy Loam,22.7,40.1,79.7,81.6,66.7,68.5,6.33,Soybean,Tomato
Clay,29.0,127.4,40.9,39.9,44.8,38.0,7.28,Tomato,Cotton
Red,22.6,105.2,72.7,20.2,57.0,24.6,6.38,Cotton,Groundnut
